simulation,y,ymin,ymax,.width,.point,.interval,divs,rhat,p_true
691,0.24761388380733282,0.2302828602169217,0.26515944836745264,0.8,mean,qi,0,TRUE,0.25728785223327577
692,0.533550334273512,0.5109235483528161,0.5557269831205677,0.8,mean,qi,0,TRUE,0.5179135277867317
693,0.9502891607677123,0.936345331962854,0.9642280124434365,0.8,mean,qi,0,TRUE,0.9549330864101648
694,0.05522852618180858,0.045439376722948954,0.06587526158440421,0.8,mean,qi,0,TRUE,0.044812608510255814
695,0.49839549255471177,0.47698908366001846,0.5195645777244035,0.8,mean,qi,0,TRUE,0.5110728077124804
696,0.05667982593153166,0.04573797102536248,0.0682704506735185,0.8,mean,qi,0,TRUE,0.06394158490002155
697,0.39063784277977837,0.37109291708621467,0.410221122784762,0.8,mean,qi,0,TRUE,0.39953623758628964
698,0.1725597454233306,0.15696558735831292,0.18863970085055315,0.8,mean,qi,0,TRUE,0.1637265442404896
699,0.5942839581103763,0.573794016993419,0.6147591508313579,0.8,mean,qi,0,TRUE,0.6057196741458029
700,0.5756977563919521,0.5553111415220134,0.5961288275775282,0.8,mean,qi,0,TRUE,0.5880698158871382
701,0.41959853971440503,0.39848692729730106,0.4400205612342767,0.8,mean,qi,0,TRUE,0.4196214824914932
702,0.500622686229094,0.47976391416754743,0.5218709663879632,0.8,mean,qi,0,TRUE,0.5204342869110405
703,0.4134008634292113,0.3924607057004663,0.43508925961790024,0.8,mean,qi,0,TRUE,0.4218686344102025
704,0.6544754208260991,0.6332097893034238,0.6750954704157786,0.8,mean,qi,0,TRUE,0.6767378521617502
705,0.7926464130503214,0.7725038888220497,0.8122752021527808,0.8,mean,qi,0,TRUE,0.7945812321268022
706,0.03413896763199384,0.027045290379443213,0.041773804303033776,0.8,mean,qi,0,TRUE,0.031081313965842128
707,0.9134184828832139,0.8979622686678552,0.9288909017870841,0.8,mean,qi,0,TRUE,0.9120996650308371
708,0.5097153607051695,0.486122474916189,0.5321139550195273,0.8,mean,qi,0,TRUE,0.5368419678416103
709,0.2113186469495109,0.19472145143976713,0.2292449527968008,0.8,mean,qi,0,TRUE,0.20336467283777893
710,0.9418787435428899,0.9256467046279433,0.9580717253636105,0.8,mean,qi,0,TRUE,0.9290440285112709
711,0.5347878985672516,0.5119910351780808,0.5571640260075333,0.8,mean,qi,0,TRUE,0.5374371998477727
712,0.26705629620240523,0.24881088526884976,0.28558639239221906,0.8,mean,qi,0,TRUE,0.26427320134826005
713,0.8980977204743268,0.8813031435035469,0.9149769385933227,0.8,mean,qi,0,TRUE,0.8869310275185853
714,0.24363092880838846,0.22546197729691358,0.2617463272504305,0.8,mean,qi,0,TRUE,0.2453649186063558
715,0.00743772468206066,0.0032736719001117205,0.012060351282203457,0.8,mean,qi,0,TRUE,0.005276126088574529
716,0.5588631486296534,0.535575322542962,0.5828207258764466,0.8,mean,qi,0,TRUE,0.5485997870564461
717,0.9780885501771529,0.9651281948838862,0.9914015006682767,0.8,mean,qi,0,TRUE,0.9718175432644784
718,0.39396092873726424,0.3732179744971018,0.4141719803459276,0.8,mean,qi,0,TRUE,0.38331964681856334
