p,.lower,.upper,.width,.point,.interval,rhat,divs
0.10377402393388391,0.08201663653491416,0.12608053267840977,0.95,mean,qi,TRUE,FALSE
0.10432319740880747,0.0828217896739956,0.12720446751565978,0.95,mean,qi,TRUE,FALSE
0.169650965786388,0.14780457152074225,0.1920313580230488,0.95,mean,qi,TRUE,FALSE
0.17018977253939946,0.14837021541784084,0.1935229926243328,0.95,mean,qi,TRUE,FALSE
0.1711158990551491,0.14903498574181626,0.19335449740711594,0.95,mean,qi,TRUE,FALSE
0.17185409419490527,0.14925674811582784,0.1946299806929241,0.95,mean,qi,TRUE,FALSE
0.1728149439359515,0.14966121482762068,0.1961775473435008,0.95,mean,qi,TRUE,FALSE
0.061449789568535744,0.048077820452675765,0.07645837091085123,0.95,mean,qi,TRUE,FALSE
0.06215104378480153,0.048285527844254814,0.07749170018034156,0.95,mean,qi,TRUE,FALSE
0.06293251708623408,0.04943504048669184,0.07840714578576777,0.95,mean,qi,TRUE,FALSE
0.06373596678419212,0.04989964937402528,0.0792674154823072,0.95,mean,qi,TRUE,FALSE
0.06433993867789506,0.0507127116721581,0.07967287895481141,0.95,mean,qi,TRUE,FALSE
0.09918723954373262,0.07990009110715857,0.11984929524472372,0.95,mean,qi,TRUE,FALSE
0.09963770557970214,0.08061499292631116,0.11998224770385879,0.95,mean,qi,TRUE,FALSE
0.10059374293243645,0.08144369843324299,0.12080937545371845,0.95,mean,qi,TRUE,FALSE
0.10087514812627912,0.08192896623320466,0.12074648552919993,0.95,mean,qi,TRUE,FALSE
0.10167727478538369,0.08261596043451863,0.12166736906860436,0.95,mean,qi,TRUE,FALSE
0.1598947715858833,0.13986103687018045,0.1808825791269859,0.95,mean,qi,TRUE,FALSE
0.16050795547066346,0.1402425956617163,0.18067686469286687,0.95,mean,qi,TRUE,FALSE
0.1608621421340825,0.14068794477672655,0.18209475845676243,0.95,mean,qi,TRUE,FALSE
0.1617780724399261,0.14100708310061658,0.18272476622106537,0.95,mean,qi,TRUE,FALSE
0.162393566218137,0.14140515496844874,0.18308185634171495,0.95,mean,qi,TRUE,FALSE
0.05967772048406312,0.04619490418807825,0.07492339701064081,0.95,mean,qi,TRUE,FALSE
0.06041322377733865,0.04740352660767551,0.07564720343269755,0.95,mean,qi,TRUE,FALSE
0.06083211359646586,0.047501730331942674,0.07548424602088767,0.95,mean,qi,TRUE,FALSE
0.06162520834210976,0.048241974196398967,0.07700309960550564,0.95,mean,qi,TRUE,FALSE
0.06230936603869394,0.04887682477286621,0.07781069626001622,0.95,mean,qi,TRUE,FALSE
0.09693565335274146,0.07755863012910424,0.11710111609755629,0.95,mean,qi,TRUE,FALSE
0.0972446814638428,0.07751314518991625,0.11786124941551748,0.95,mean,qi,TRUE,FALSE
0.09790576021032973,0.07813133159535961,0.1186829153251212,0.95,mean,qi,TRUE,FALSE
0.0985245002685919,0.07906270431903975,0.11874201986230525,0.95,mean,qi,TRUE,FALSE
0.0992593375878982,0.07962317994066513,0.12009502735893916,0.95,mean,qi,TRUE,FALSE
0.1590885359917879,0.13853589152103227,0.1798024771156498,0.95,mean,qi,TRUE,FALSE
0.15967538936219222,0.13934195914072073,0.18048348671327222,0.95,mean,qi,TRUE,FALSE
0.1602841534082428,0.139839728164661,0.18082818450964966,0.95,mean,qi,TRUE,FALSE
